,Model_name,Ratings,Customers_rated,RAM,Internal_storage,Display_size,Camera,Battery_mAh,Price,Discount,Final_Price
155,"SAMSUNG Galaxy A6+ (Gold, 64 GB)",4.4,4215,4.0,64,15.24,16MP + 5MP | 24MP Front Camera,3500,0,0,21990
156,"SAMSUNG Galaxy A20 (Deep Blue, 32 GB)",4.4,15529,3.0,32,16.26,13MP + 5MP | 8MP Front Camera,4000,0,0,12900
157,"SAMSUNG Galaxy A20s (Blue, 32 GB)",4.3,1093,3.0,32,16.51,13MP + 8MP + 5MP | 8MP Front Camera,4000,0,0,12900
158,"SAMSUNG Galaxy A30 (Black, 64 GB)",4.4,17708,4.0,64,16.26,16MP + 5MP | 16MP Front Camera,4000,0,0,17500
159,"SAMSUNG M01 core (Black, 32 GB)",3.9,7716,2.0,32,13.46,8MP Rear Camera | 5MP Front Camera,3000,0,0,5999
160,"SAMSUNG Galaxy J6 (Blue, 64 GB)",4.5,42223,4.0,64,14.22,13MP Rear Camera | 8MP Front Camera,3000,17108,44,9490
161,"SAMSUNG Galaxy A8 Star (White, 64 GB)",4.3,799,6.0,64,16.0,24MP Rear Camera,3700,0,0,34999
162,"SAMSUNG Galaxy S8 Plus (Midnight Black, 128 GB)",4.6,348,6.0,128,15.75,12MP Rear Camera | 8MP Front Camera,3500,0,0,66900
163,"SAMSUNG Galaxy J5 Prime (Black, 32 GB)",4.3,3360,3.0,32,12.7,13MP Rear Camera | 5MP Front Camera,2400,0,0,13500
164,"SAMSUNG M01 core (Blue, 32 GB)",3.9,7716,2.0,32,13.46,8MP Rear Camera | 5MP Front Camera,3000,0,0,5999
165,"SAMSUNG Galaxy J6 (Black, 64 GB)",4.5,42223,4.0,64,14.22,13MP Rear Camera | 8MP Front Camera,3000,0,0,14990
166,"SAMSUNG Galaxy J2 2018 (Pink, 16 GB)",4.3,7621,2.0,16,12.7,8MP Rear Camera | 5MP Front Camera,2600,0,0,6799
167,"SAMSUNG Galaxy A7 (Blue, 64 GB)",4.4,12915,4.0,64,15.24,24MP + 5MP + 8MP | 24MP Front Camera,3300,25379,29,17990
168,"SAMSUNG Galaxy A8 Plus (Black, 64 GB)",4.2,277,6.0,64,15.24,16MP Rear Camera,3500,27990,10,24990
170,"SAMSUNG Galaxy J7 Prime (Black, 16 GB)",4.2,19615,3.0,16,13.97,13MP Rear Camera | 8MP Front Camera,3300,0,0,18328
